maintenance_cost,failure_cost,break_even_probability,engines_selected,maintenance_outlay,risk_adjusted_exposure,risk_adjusted_net_benefit
5000,30000,0.16666666666666666,28,140000,572388.8683320904,432388.86833209044
5000,40000,0.125,30,150000,774841.3070528884,624841.3070528884
5000,50000,0.1,31,155000,973622.2975142468,818622.2975142468
5000,60000,0.08333333333333333,32,160000,1174199.4939715483,1014199.4939715483
8000,30000,0.26666666666666666,24,192000,546932.9400567686,354932.9400567686
8000,40000,0.2,26,208000,747502.4868111303,539502.4868111303
8000,50000,0.16,29,232000,962026.5703146094,730026.5703146094
8000,60000,0.13333333333333333,29,232000,1154431.8843775312,922431.8843775312
10000,30000,0.3333333333333333,23,230000,538421.342634575,308421.342634575
10000,40000,0.25,24,240000,729243.9200756915,489243.92007569154
10000,50000,0.2,26,260000,934378.1085139129,674378.1085139129
10000,60000,0.16666666666666666,28,280000,1144777.7366641809,864777.7366641809
12000,30000,0.4,21,252000,516776.2663675625,264776.2663675625
12000,40000,0.3,23,276000,717895.1235127666,441895.12351276656
12000,50000,0.24,24,288000,911554.9000946144,623554.9000946144
12000,60000,0.2,26,312000,1121253.7302166955,809253.7302166955
15000,30000,0.5,19,285000,488399.30116128194,203399.30116128194
15000,40000,0.375,22,330000,704135.4307687145,374135.4307687145
15000,50000,0.3,23,345000,897368.9043909583,552368.9043909583
15000,60000,0.25,24,360000,1093865.8801135372,733865.8801135372
