engine_id,cycle,setting_1,setting_2,setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,predicted_rul_capped_raw,predicted_rul_capped,actual_rul,actual_rul_capped,high_risk_probability,expected_failure_loss,maintenance_cost,failure_cost,break_even_probability,financial_benefit,maintenance_economically_justified,economic_action
1,31,-0.0006,0.0004,100.0,518.67,642.58,1581.22,1398.91,14.62,21.61,554.42,2388.08,9056.4,1.3,47.23,521.79,2388.06,8130.11,8.4024,0.03,393,2388,100.0,38.81,23.3552,120.73964143295372,120.73964143295372,112,112,6.946766536102905e-05,2.778706614441162,8000,40000,0.2,-7997.221293385559,False,Continue / monitor
2,49,0.0018,-0.0001,100.0,518.67,642.55,1586.59,1410.83,14.62,21.61,553.52,2388.1,9044.77,1.3,47.67,521.74,2388.09,8126.9,8.4505,0.03,391,2388,100.0,38.81,23.2618,113.71339557309226,113.71339557309226,98,98,0.00015227440583813237,6.090976233525295,8000,40000,0.2,-7993.909023766475,False,Continue / monitor
3,126,-0.0016,0.0004,100.0,518.67,642.88,1589.75,1418.89,14.62,21.61,552.59,2388.16,9049.26,1.3,47.88,520.83,2388.14,8131.46,8.4119,0.03,395,2388,100.0,38.93,23.274,64.57415073277186,64.57415073277186,69,69,0.03556078771282919,1422.4315085131675,8000,40000,0.2,-6577.5684914868325,False,Continue / monitor
4,106,0.0012,0.0004,100.0,518.67,642.78,1594.53,1406.88,14.62,21.61,552.64,2388.13,9051.3,1.3,47.65,521.88,2388.11,8133.64,8.4634,0.03,395,2388,100.0,38.58,23.2581,93.236669749763,93.236669749763,82,82,0.0014978758325980837,59.915033303923344,8000,40000,0.2,-7940.084966696077,False,Continue / monitor
5,98,-0.0013,-0.0004,100.0,518.67,642.27,1589.94,1419.36,14.62,21.61,553.29,2388.1,9053.99,1.3,47.46,521.0,2388.15,8125.74,8.4362,0.03,394,2388,100.0,38.75,23.4117,104.04839485398836,104.04839485398836,91,91,0.0004481242597807633,17.92497039123053,8000,40000,0.2,-7982.07502960877,False,Continue / monitor
6,105,0.0076,-0.0003,100.0,518.67,643.05,1586.94,1404.49,14.62,21.61,553.73,2388.14,9055.83,1.3,47.51,521.56,2388.15,8139.02,8.4452,0.03,393,2388,100.0,38.91,23.3269,107.0690062598158,107.0690062598158,93,93,0.0003198220749456082,12.792882997824329,8000,40000,0.2,-7987.207117002175,False,Continue / monitor
7,160,0.0016,-0.0001,100.0,518.67,642.1,1589.59,1413.57,14.62,21.61,553.42,2388.04,9070.99,1.3,47.32,522.32,2388.07,8149.19,8.4028,0.03,393,2388,100.0,38.91,23.2763,103.76978820848909,103.76978820848909,91,91,0.0004622841234294248,18.491364937176993,8000,40000,0.2,-7981.508635062823,False,Continue / monitor
8,166,0.0016,-0.0005,100.0,518.67,642.59,1591.91,1413.89,14.62,21.61,553.51,2388.14,9049.96,1.3,47.59,520.53,2388.12,8127.84,8.4744,0.03,393,2388,100.0,38.73,23.2465,100.17559839534658,100.17559839534658,95,95,0.0006905304983736382,27.62121993494553,8000,40000,0.2,-7972.378780065054,False,Continue / monitor
9,55,-0.0003,0.0004,100.0,518.67,642.27,1593.61,1410.27,14.62,21.61,552.58,2388.13,9057.57,1.3,47.58,521.65,2388.16,8134.76,8.4293,0.03,392,2388,100.0,38.78,23.3515,101.43331629758325,101.43331629758325,111,111,0.0006000724091690193,24.002896366760773,8000,40000,0.2,-7975.997103633239,False,Continue / monitor
10,192,-0.0018,0.0004,100.0,518.67,643.0,1589.5,1398.99,14.62,21.61,552.88,2388.11,9060.88,1.3,47.59,521.82,2388.08,8141.91,8.4194,0.03,393,2388,100.0,38.79,23.2956,103.73680739022087,103.73680739022087,96,96,0.0004639896685944646,18.559586743778585,8000,40000,0.2,-7981.440413256221,False,Continue / monitor
11,83,0.0001,0.0004,100.0,518.67,642.42,1587.73,1414.22,14.62,21.61,552.8,2388.21,9037.11,1.3,47.67,520.74,2388.18,8116.85,8.464,0.03,394,2388,100.0,38.66,23.2908,76.20689268693751,76.20689268693751,97,97,0.009953743513423938,398.1497405369575,8000,40000,0.2,-7601.850259463043,False,Continue / monitor
12,217,0.0013,0.0003,100.0,518.67,642.59,1595.9,1409.64,14.62,21.61,553.36,2388.04,9074.24,1.3,47.37,522.03,2388.02,8155.74,8.4482,0.03,393,2388,100.0,38.81,23.2861,94.7876641120673,94.7876641120673,124,124,0.0012598893676159947,50.395574704639785,8000,40000,0.2,-7949.60442529536,False,Continue / monitor
13,195,0.0032,-0.0004,100.0,518.67,642.37,1591.31,1414.51,14.62,21.61,553.28,2388.1,9060.92,1.3,47.52,521.3,2388.12,8146.8,8.4336,0.03,394,2388,100.0,38.75,23.282,91.2966115021718,91.2966115021718,95,95,0.0018596912775815243,74.38765110326098,8000,40000,0.2,-7925.612348896739,False,Continue / monitor
