threshold,high_recall,high_precision,false_positive_rate,true_positive,false_negative,false_positive,true_negative,selected
20,0.635483870967742,0.9690113133300541,0.00359363413382009,1970,1130,63,17468,False
21,0.6532258064516129,0.9647451167222487,0.004221094061947407,2025,1075,74,17457,False
22,0.6806451612903226,0.9582198001816531,0.00524784667161029,2110,990,92,17439,False
23,0.7019354838709677,0.9493891797556719,0.0066168501511608005,2176,924,116,17415,False
24,0.7212903225806452,0.9418702611625948,0.007871770007415435,2236,864,138,17393,False
25,0.7409677419354839,0.9318458417849899,0.009583024356853573,2297,803,168,17363,False
26,0.7609677419354839,0.9218444704962876,0.011408362329587588,2359,741,200,17331,False
27,0.7748387096774193,0.9133079847908745,0.01300553305572985,2402,698,228,17303,False
28,0.7919354838709678,0.9069080162541558,0.01437453653528036,2455,645,252,17279,False
29,0.807741935483871,0.8968481375358166,0.016428041754606125,2504,596,288,17243,False
30,0.82,0.8888111888111888,0.018139296104044265,2542,558,318,17213,False
31,0.8332258064516129,0.8812691914022518,0.019850550453482402,2583,517,348,17183,False
32,0.8493548387096774,0.8689768976897689,0.02264559922423136,2633,467,397,17134,False
33,0.8606451612903225,0.8578778135048232,0.02521248074838857,2668,432,442,17089,False
34,0.8693548387096774,0.8485516372795969,0.02743711140265815,2695,405,481,17050,False
35,0.8767741935483871,0.8363076923076923,0.030346243796702983,2718,382,532,16999,False
36,0.8838709677419355,0.8243080625752106,0.033312418002395754,2740,360,584,16947,False
37,0.8938709677419355,0.8126099706744868,0.03644971764303234,2771,329,639,16892,False
38,0.9003225806451612,0.8001720183486238,0.03975814271861274,2791,309,697,16834,True
39,0.9080645161290323,0.7869723231758456,0.04346586047572871,2815,285,762,16769,False
40,0.9145161290322581,0.7745901639344263,0.0470594946095488,2835,265,825,16706,False
41,0.9203225806451613,0.7632423756019262,0.050482003308425075,2853,247,885,16646,False
42,0.9258064516129032,0.7520964360587002,0.05396155381894929,2870,230,946,16585,False
43,0.9287096774193548,0.7393425783256292,0.05789743882265701,2879,221,1015,16516,False
44,0.9351612903225807,0.7300428103752203,0.06114882208658947,2899,201,1072,16459,False
45,0.9380645161290323,0.7182020251914053,0.06508470709029719,2908,192,1141,16390,False
46,0.9412903225806452,0.70790878214459,0.06867834122411728,2918,182,1204,16327,False
47,0.944516129032258,0.700646087580761,0.07135930637157036,2928,172,1251,16280,False
48,0.9470967741935484,0.6877488873272429,0.07603673492670127,2936,164,1333,16198,False
49,0.95,0.678727817469463,0.07951628543722548,2945,155,1394,16137,False
50,0.9509677419354838,0.6706096451319381,0.08259654326621413,2948,152,1448,16083,False
51,0.952258064516129,0.6609941782355575,0.08636130283497803,2952,148,1514,16017,False
52,0.954516129032258,0.6539226519337017,0.08932747704067082,2959,141,1566,15965,False
53,0.9580645161290322,0.6452313708451011,0.09314927842108266,2970,130,1633,15898,False
54,0.9609677419354838,0.6381748071979434,0.09634361987336718,2979,121,1689,15842,False
55,0.9619354838709677,0.6291139240506329,0.10027950487707489,2982,118,1758,15773,False
56,0.9651612903225807,0.6210045662100456,0.10415834806913468,2992,108,1826,15705,False
57,0.9670967741935483,0.6133387888707038,0.1078090240146027,2998,102,1890,15641,False
58,0.9687096774193549,0.6056877773295684,0.11151674177171866,3003,97,1955,15576,False
59,0.9712903225806452,0.5967102655568768,0.1160800867035537,3011,89,2035,15496,False
60,0.9741935483870968,0.591692789968652,0.11887513547430266,3020,80,2084,15447,False
